epoch,train_loss,epoch_seconds,val_auc_roc,val_auc_pr
1,0.6975482702255249,0.14666358998510987,,
2,0.6173784732818604,0.06133360299281776,,
3,0.549616277217865,0.06092666101176292,,
4,0.5088046193122864,0.05908214702503756,,
5,0.5119292736053467,0.059688951005227864,0.4326157124424924,0.13527461656267314
6,0.5002596974372864,0.056929784012027085,,
7,0.48020660877227783,0.05891503801103681,,
8,0.45648592710494995,0.05935596802737564,,
9,0.4567405581474304,0.059884032991249114,,
10,0.4598253667354584,0.06195402698358521,0.72679917632186,0.317610674564667
11,0.44319334626197815,0.05751678900560364,,
12,0.4252106547355652,0.058234096970409155,,
13,0.42864498496055603,0.06125703896395862,,
14,0.4227440357208252,0.058449135976843536,,
15,0.41199374198913574,0.05797001300379634,0.7944513026365521,0.4181664092683496
16,0.4009314179420471,0.060524641012307256,,
17,0.4026677906513214,0.059050787007436156,,
18,0.3943121135234833,0.05826452001929283,,
19,0.38201668858528137,0.05977463198360056,,
20,0.37919238209724426,0.05690615699859336,0.8376881101017868,0.49964048291365537
21,0.37297961115837097,0.05640462797600776,,
22,0.3641839325428009,0.05970813299063593,,
23,0.353881299495697,0.056111862999387085,,
24,0.35592326521873474,0.058551226975396276,,
25,0.343270868062973,0.05828013096470386,0.8686266209646939,0.552347247521835
26,0.337118923664093,0.055491856997832656,,
27,0.33857759833335876,0.05872688797535375,,
28,0.32853376865386963,0.058288549014832824,,
29,0.32501494884490967,0.06192514701979235,,
30,0.3231814503669739,0.05826496204826981,0.8919453661588187,0.6016695559343412
31,0.31644412875175476,0.05674446403281763,,
32,0.31467998027801514,0.06164383498253301,,
33,0.31385016441345215,0.0586510649882257,,
34,0.3092774450778961,0.0582324750139378,,
35,0.30950677394866943,0.0609103650203906,0.9016288235217453,0.6222716466507769
36,0.305205374956131,0.05679663404589519,,
37,0.3035094439983368,0.05965919699519873,,
38,0.30667829513549805,0.06084963498869911,,
39,0.30282557010650635,0.058251685986761004,,
40,0.30218157172203064,0.05932038294849917,0.9065161281914269,0.6347827629862557
41,0.2973320484161377,0.05829551100032404,,
42,0.3011002838611603,0.05890105199068785,,
43,0.296565443277359,0.05929162900429219,,
44,0.2967866361141205,0.05750086798798293,,
45,0.2933647632598877,0.058958749985322356,0.9106098476456099,0.6442202682199175
46,0.29623714089393616,0.05721164302667603,,
47,0.29635512828826904,0.05704633699497208,,
48,0.29365652799606323,0.056545810017269105,,
49,0.2923486828804016,0.05846244900021702,,
50,0.2909527122974396,0.05865656997775659,0.9123976592943999,0.6497799226345972
51,0.2921040952205658,0.05699850799283013,,
52,0.2895421087741852,0.05852404603501782,,
53,0.29150715470314026,0.05832506297156215,,
54,0.2894389033317566,0.061893525009509176,,
55,0.2897038757801056,0.0581896259682253,0.9133235021960405,0.6546640548684861
56,0.288566917181015,0.055507866956759244,,
57,0.2880765497684479,0.06199240102432668,,
58,0.2872217893600464,0.058291628025472164,,
59,0.2867836058139801,0.05824864300666377,,
60,0.2854183614253998,0.0585328460438177,0.9152474553297971,0.6568602924566943
61,0.28532615303993225,0.0559052309836261,,
62,0.285094678401947,0.05808583804173395,,
63,0.2843613624572754,0.057574754988308996,,
64,0.2838546335697174,0.05777041200781241,,
65,0.2830098867416382,0.05887739302124828,0.9160204225260332,0.6578495783258845
66,0.28193914890289307,0.05522522598039359,,
67,0.28141647577285767,0.05718151404289529,,
68,0.28186753392219543,0.058771425974555314,,
69,0.2817178964614868,0.05879535496933386,,
70,0.2802892327308655,0.06275191699387506,0.9171331830207615,0.6601552390837634
