epoch,train_loss,epoch_seconds,val_auc_roc,val_auc_pr
1,7.016223232920577,4.9987275850144215,,
2,3.138667228745251,4.385567581979558,,
3,1.9178895790402481,4.1287046580109745,,
4,1.40919432262095,4.769150395994075,,
5,1.2118054860975684,4.256961425009649,0.7612768705443834,0.39362868115849037
6,1.1347386400874069,4.532984449993819,,
7,1.1002994048886183,4.380540938000195,,
8,1.0832069385342482,5.022977229033131,,
9,1.0731995309271463,4.599862385017332,,
10,1.067261829608824,4.750319886021316,0.8660696346883185,0.5069109479032096
11,1.062641928835613,4.244877079967409,,
12,1.0594093276233207,4.321698638959788,,
13,1.0577273397910885,4.59250852902187,,
14,1.0561360222537344,4.841727828956209,,
15,1.0547315216645963,4.761976821988355,0.9117075551616729,0.584120209953522
16,1.0534051438657248,4.773426222032867,,
17,1.0530291010693806,5.0938924590009265,,
18,1.0523032386128495,4.269511173013598,,
19,1.0514362803319606,4.755827129003592,,
20,1.0515347166759212,4.394372399023268,0.9328530542558876,0.6372060281286074
21,1.0510228726922013,4.545523812004831,,
22,1.0507487538384228,4.491912317986134,,
23,1.0509236018832138,4.152766618004534,,
24,1.0497688418481408,4.269648318993859,,
25,1.0500769658786495,4.506369387032464,0.9409980450677059,0.663421915786918
26,1.0499857446042502,5.122587540012319,,
27,1.0496296461035566,4.619332275993656,,
28,1.0495631593029673,4.066843609965872,,
29,1.0493997858791817,4.830910446005873,,
30,1.0495636521316156,5.135648843017407,0.9437517887630491,0.675221842875995
31,1.0494501154597213,5.092448523035273,,
32,1.0491807911454178,5.11257606203435,,
33,1.048903260289169,4.59693373698974,,
34,1.0491238774322882,4.919859098037705,,
35,1.048918142551329,4.431818195967935,0.943555709053943,0.672451773578693
36,1.048609857152148,4.494024252984673,,
37,1.0487545961286964,4.808579076023307,,
38,1.0486758162335652,4.45995845500147,,
39,1.0485469277312116,4.649608100007754,,
40,1.0484396510007905,4.241938214050606,0.9431925347652127,0.6737757142615248
41,1.0477989315986633,4.7167412110138685,,
42,1.0480743806536605,4.651259339996614,,
43,1.0481860899343722,4.3519105689483695,,
44,1.0484455111550122,4.8175993370241486,,
45,1.047892186699844,4.385881512018386,0.9421839200302362,0.6701055864106653
46,1.0484391450881958,4.267963215999771,,
47,1.0478940722418995,4.411205662996508,,
48,1.0478257100756576,4.571669102995656,,
49,1.0479920244798429,4.272551729984116,,
50,1.048229200084035,4.515746638993733,0.9433971770777673,0.6744500342775972
