epoch,train_loss,epoch_seconds,val_auc_roc,val_auc_pr
1,7.0041184483504875,4.467577989038546,,
2,3.1333293420512502,4.255660592985805,,
3,1.9142327861088078,4.129198783019092,,
4,1.4057234205850742,4.519943135033827,,
5,1.2084729220809005,4.1556928379577585,0.6795319631430098,0.35103457452916054
6,1.1311987900152438,4.283528355997987,,
7,1.0970341548687075,4.2709823390468955,,
8,1.0795712863526694,4.424656571005471,,
9,1.069779990649805,4.295831480994821,,
10,1.0636816693515312,4.635000649024732,0.7274718945900506,0.4121958356283466
11,1.0597445194314166,4.5040552339632995,,
12,1.056544881041457,4.438739723991603,,
13,1.0541857350163344,4.220904419955332,,
14,1.0527257076123866,4.381834000989329,,
15,1.051334048189768,4.472947278001811,0.7410386946265427,0.42845589286193664
16,1.0504283803265269,4.544993564020842,,
17,1.0492412084486427,4.328535585023928,,
18,1.0488263295917977,4.7982380709727295,,
19,1.0480853144715472,4.156758998986334,,
20,1.0478985149685929,4.2830711779533885,0.7473985585632551,0.4374043132543642
21,1.0475655721455086,4.536675432987977,,
22,1.0473639267246897,4.259249889990315,,
23,1.047339884246268,4.549995921959635,,
24,1.0465879396694462,4.525203274039086,,
25,1.0468807598439658,4.474585634015966,0.743989951648008,0.4341775899625279
26,1.0462414331552459,4.652196594979614,,
27,1.0463286318430087,4.160157533013262,,
28,1.0460993865641153,4.147807048982941,,
29,1.0458621324562445,4.321970968972892,,
30,1.046076262869486,4.661396114970557,0.7508972617914998,0.43778926558723497
31,1.0459504374643651,4.327261594997253,,
32,1.0455393355067184,4.269927754008677,,
33,1.045764372116182,4.281900352973025,,
34,1.0455737346556129,4.120033834013157,,
35,1.0454985339467118,4.510531506035477,0.7448069178537451,0.4358410898303656
36,1.0451854292939349,4.429473262978718,,
37,1.04549805420201,4.165956057957374,,
38,1.04503026677341,4.146487690042704,,
39,1.0454370452136528,4.259654327004682,,
40,1.0451969591582693,4.4058628519997,0.7519398402168671,0.4454238505534053
41,1.0451948192061447,4.134640995995142,,
42,1.0446356476807013,4.559522119001485,,
43,1.044565020537958,4.476806556980591,,
44,1.0443416499510043,4.553101156023331,,
45,1.0440639082978411,4.414285728998948,0.751614826206519,0.4455764753547945
46,1.0435853876718661,4.37385567399906,,
47,1.0433263691460215,4.456041707016993,,
48,1.043174823609794,4.249704962014221,,
49,1.0430301355152596,4.380314090987667,,
50,1.0428028324755227,4.667695048963651,0.762854253281028,0.4534922507800484
