alpha,auc_roc,auc_pr,hits@10,mrr
0.0,0.7388224530490427,0.4222424805290763,0.7794117647058824,0.6374898168455377
0.05,0.7499039737257099,0.44264715389900694,0.7867647058823529,0.639312333726308
0.1,0.7553936842654015,0.4525507185221408,0.7941176470588235,0.6399668474787419
0.15000000000000002,0.7586989013280507,0.4600912125041138,0.7941176470588235,0.6359099339391071
0.2,0.7608762267200146,0.46626389853507527,0.8014705882352942,0.6363746928921878
0.25,0.7625109932359342,0.4716956610077237,0.8014705882352942,0.6442122661906834
0.30000000000000004,0.7637610812078877,0.47633372089468734,0.8014705882352942,0.6492913177097642
0.35000000000000003,0.7647105527245239,0.4803185427509084,0.8014705882352942,0.6489441626841433
0.4,0.7654462328454691,0.4840128994891913,0.8014705882352942,0.647996004587029
0.45,0.7660706903517575,0.48743712908424375,0.8014705882352942,0.6476234999462316
0.5,0.7665579637425224,0.4904908612012768,0.8014705882352942,0.6474779695384714
0.55,0.7669388106191923,0.49324818168503454,0.8014705882352942,0.6472758030735979
0.6000000000000001,0.767240391507774,0.4957887677150441,0.7941176470588235,0.6504839343310371
0.65,0.7674932815493489,0.49828359534916294,0.7941176470588235,0.6475763399550171
0.7000000000000001,0.767634975042031,0.5002174282886094,0.7941176470588235,0.6465807375725109
0.75,0.7676715453088142,0.501619348751134,0.8014705882352942,0.6455046347741465
0.8,0.7675934522801028,0.502576811775432,0.8014705882352942,0.6465517379950778
0.8500000000000001,0.7673116031748101,0.5019957564577398,0.7941176470588235,0.646099447230287
0.9,0.76661450038447,0.4981896386180746,0.7941176470588235,0.6502916889966761
0.9500000000000001,0.7653189276544722,0.48851769562309433,0.7941176470588235,0.6409954831120187
1.0,0.762852246217206,0.4533827364393909,0.7941176470588235,0.5717906835260455
