alpha,auc_roc,auc_pr,hits@10,mrr
0.0,0.9575118143074978,0.8284361816423937,0.8529411764705882,0.7604090073529413
0.05,0.9644024293291977,0.8399299452913696,0.8602941176470589,0.7688725490196078
0.1,0.967632681254806,0.8462741436812836,0.8602941176470589,0.7694852941176471
0.15000000000000002,0.969792125532719,0.8513042483801442,0.8602941176470589,0.7694852941176471
0.2,0.971398610694783,0.8554401797139408,0.8602941176470589,0.7768382352941177
0.25,0.9726274550691395,0.8589854895012697,0.8602941176470589,0.7774509803921569
0.30000000000000004,0.9735468466942095,0.8619031768902425,0.8602941176470589,0.7827205882352941
0.35000000000000003,0.9742593804167917,0.8644026245379598,0.8602941176470589,0.7827205882352941
0.4,0.9748228961670296,0.8666594165953824,0.8602941176470589,0.7830882352941176
0.45,0.9752724784631626,0.8686492741331677,0.8602941176470589,0.7800245098039216
0.5,0.9756323684656389,0.8703669283031031,0.8602941176470589,0.7775735294117647
0.55,0.9758176178498352,0.8715589636134622,0.8602941176470589,0.7781862745098039
0.6000000000000001,0.9758413637607686,0.8721361939518422,0.8602941176470589,0.7830882352941176
0.65,0.9756875496878624,0.8721646344842372,0.8602941176470589,0.78125
0.7000000000000001,0.9752817057435912,0.8712156095521995,0.8602941176470589,0.7849264705882353
0.75,0.974417417143453,0.8684210260934325,0.8602941176470589,0.7824754901960784
0.8,0.9728256852037692,0.8627848763483827,0.8602941176470589,0.7759803921568628
0.8500000000000001,0.9701461768040768,0.8522888360253552,0.8602941176470589,0.775
0.9,0.9652855895424154,0.8306749047722727,0.8602941176470589,0.7738970588235294
0.9500000000000001,0.9567250713550287,0.7867291239479994,0.8602941176470589,0.7585784313725491
1.0,0.9423953785400565,0.6753819550991121,0.8602941176470589,0.646516106442577
