run,hybrid_source,model,auc_roc,auc_pr,hits@10,mrr
full_cuda_hybrid_han,Hybrid(HAN),heuristics,0.7524895183046826,0.42509337793251617,0.8308823529411765,0.58565346999338
full_cuda_hybrid_han,Hybrid(HAN),node2vec,0.9391239068670255,0.6686011372121621,0.9044117647058824,0.7932123088469838
full_cuda_hybrid_han,Hybrid(HAN),han,0.9136989339102556,0.6490171917152361,0.8676470588235294,0.6584174731480477
full_cuda_hybrid_han,Hybrid(HAN),hybrid,0.96716560231464,0.8375668478317863,0.9117647058823529,0.8053882036685642
full_cuda_hybrid_node2vec,Hybrid(Node2Vec),heuristics,0.7524895183046826,0.42509337793251617,0.8308823529411765,0.58565346999338
full_cuda_hybrid_node2vec,Hybrid(Node2Vec),node2vec,0.938663490987762,0.6670940994302188,0.9117647058823529,0.8052889576883385
full_cuda_hybrid_node2vec,Hybrid(Node2Vec),han,0.9136983897874338,0.6490201008470567,0.8676470588235294,0.6584174731480477
full_cuda_hybrid_node2vec,Hybrid(Node2Vec),hybrid,0.9722015926181755,0.8594466620463237,0.9117647058823529,0.865828173374613
