run,pipeline,hybrid_source,model,auc_roc,auc_pr,hits@10,mrr
main2_full_cuda_hybrid_han,main2,Hybrid(HAN)-main2,heuristics,0.7300071224699919,0.4040200804145193,0.8382352941176471,0.5874928334084055
main2_full_cuda_hybrid_han,main2,Hybrid(HAN)-main2,node2vec,0.751514945457389,0.44533576867146163,0.8235294117647058,0.6554769620906293
main2_full_cuda_hybrid_han,main2,Hybrid(HAN)-main2,han,0.8602133743434686,0.5261628789369687,0.8455882352941176,0.6394683783780227
main2_full_cuda_hybrid_han,main2,Hybrid(HAN)-main2,hybrid,0.8587266972070535,0.5423378411363123,0.8529411764705882,0.668163962291362
main2_full_cuda_hybrid_node2vec,main2,Hybrid(Node2Vec)-main2,heuristics,0.7300071224699919,0.4040200804145193,0.8382352941176471,0.5874928334084055
main2_full_cuda_hybrid_node2vec,main2,Hybrid(Node2Vec)-main2,node2vec,0.7544725560088101,0.4478219953844096,0.8161764705882353,0.6581864603342662
main2_full_cuda_hybrid_node2vec,main2,Hybrid(Node2Vec)-main2,han,0.8602184311016695,0.5261818073610767,0.8455882352941176,0.6406938685741013
main2_full_cuda_hybrid_node2vec,main2,Hybrid(Node2Vec)-main2,hybrid,0.7590487332038733,0.4895174579562584,0.8235294117647058,0.7117450775759131
