alpha,auc_roc,auc_pr,hits@10,mrr
0.0,0.5976993183802735,0.4039591523340329,0.7794117647058824,0.6347801486458348
0.05,0.8364485135998123,0.5216821825265104,0.7720588235294118,0.6347315963262588
0.1,0.8505357557116604,0.5387783682229462,0.7647058823529411,0.6378722300096618
0.15000000000000002,0.8554978691237993,0.54510574057195,0.7720588235294118,0.6323395793652087
0.2,0.8579225064838587,0.5481323236305987,0.7720588235294118,0.6282709070657804
0.25,0.8592942433760378,0.5498630596358618,0.7720588235294118,0.6301333780216523
0.30000000000000004,0.8601301984907922,0.5509655016449809,0.7794117647058824,0.6290275840459998
0.35000000000000003,0.8606955649102686,0.551570436012469,0.7794117647058824,0.6279290876525049
0.4,0.8610560022937872,0.5517405822242611,0.7794117647058824,0.6269152684925785
0.45,0.8613196314300982,0.5517324744576494,0.7794117647058824,0.6228796220373849
0.5,0.8615060798394347,0.5515868265924515,0.7794117647058824,0.6206884449435369
0.55,0.861605442531507,0.5510197320336951,0.7794117647058824,0.620414986740514
0.6000000000000001,0.861667505115406,0.5503835687967754,0.7794117647058824,0.6179780946968964
0.65,0.8616570788098371,0.5494916248166526,0.7794117647058824,0.6229150694868124
0.7000000000000001,0.8616022103767806,0.5483424612765405,0.7794117647058824,0.6186132909045972
0.75,0.8614978951895631,0.5465780518527716,0.7720588235294118,0.6081217537955621
0.8,0.861350258702707,0.5443365655313401,0.7720588235294118,0.6032197930112484
0.8500000000000001,0.8611355028737504,0.5412962474860421,0.7720588235294118,0.6030183377852834
0.9,0.8608816744646743,0.5376203150688755,0.7720588235294118,0.5956052090082737
0.9500000000000001,0.8605600229378723,0.5331710451411632,0.7720588235294118,0.5931542286161168
1.0,0.8601781073648817,0.5269127581436908,0.7720588235294118,0.5842162400720785
