epoch,train_loss,epoch_seconds,val_auc_roc,val_auc_pr
1,0.6842139959335327,0.5338613030035049,,
2,0.6094115972518921,0.07972405100008473,,
3,0.5381417274475098,0.07771290501113981,,
4,0.5022907853126526,0.07595433399546891,,
5,0.5144455432891846,0.07716174703091383,0.5130932633033143,0.16014461160650176
6,0.47755804657936096,0.0756220489856787,,
7,0.4542449712753296,0.07836475898511708,,
8,0.449421763420105,0.09066800400614738,,
9,0.44920316338539124,0.07814364804653451,,
10,0.4318336248397827,0.07387943600770086,0.70286430163302,0.29285294464118217
11,0.42251819372177124,0.07341433799592778,,
12,0.4195089638233185,0.08209860802162439,,
13,0.41857990622520447,0.07370068697491661,,
14,0.40845078229904175,0.07213762402534485,,
15,0.40611597895622253,0.0731464639538899,0.7632955466642339,0.35461311055408773
16,0.3955526351928711,0.07229330798145384,,
17,0.38540956377983093,0.07017954502953216,,
18,0.38030409812927246,0.0705735309747979,,
19,0.3698974847793579,0.07260193204274401,,
20,0.36380088329315186,0.07135557994479313,0.7980584655084779,0.3993934552948252
21,0.35655784606933594,0.07041533198207617,,
22,0.34969326853752136,0.07322716497583315,,
23,0.34389305114746094,0.07074784598080441,,
24,0.3395611047744751,0.07274790800875053,,
25,0.33447787165641785,0.07051646098261699,0.8268352513391286,0.453250485692076
26,0.3276326358318329,0.0665079919854179,,
27,0.32348358631134033,0.06904831901192665,,
28,0.3146335780620575,0.06853812298504636,,
29,0.3133811056613922,0.06913962197722867,,
30,0.3092564046382904,0.06806924496777356,0.8479507096404229,0.4942471591745317
31,0.30689626932144165,0.06840887799626216,,
32,0.30798831582069397,0.07006858004024252,,
33,0.3016790747642517,0.0689812260097824,,
34,0.30028218030929565,0.06852587405592203,,
35,0.30268293619155884,0.07016964297508821,0.8532427504594091,0.5071737699761355
36,0.2996150851249695,0.06715222098864615,,
37,0.2959304749965668,0.07158532901667058,,
38,0.29210835695266724,0.06828017701627687,,
39,0.29990532994270325,0.06971643900033087,,
40,0.2914640009403229,0.07130474504083395,0.8527997497686662,0.5136065166601138
41,0.2909787595272064,0.07847005600342527,,
42,0.2905133366584778,0.07727178296772763,,
43,0.29146721959114075,0.06990969501202926,,
44,0.2862103581428528,0.07166216400219128,,
45,0.2865326702594757,0.07509254099568352,0.8579544891761915,0.5259751871300185
46,0.28341785073280334,0.06804061197908595,,
47,0.28280141949653625,0.06937405397184193,,
48,0.28563377261161804,0.06983271398348734,,
49,0.2819299101829529,0.06840285001089796,,
50,0.28573042154312134,0.06956774700665846,0.8572307862737688,0.5249948425504948
51,0.2812434434890747,0.06710327602922916,,
52,0.283358097076416,0.06962409999687225,,
53,0.28343456983566284,0.07254067895701155,,
54,0.27913179993629456,0.06987713696435094,,
55,0.2778184115886688,0.06793305597966537,0.8604252629383935,0.5272751264614816
56,0.27395445108413696,0.06840720697073266,,
57,0.277171790599823,0.06931609602179378,,
58,0.2784727215766907,0.07154627703130245,,
59,0.27625760436058044,0.0684676649980247,,
60,0.27211958169937134,0.07030011201277375,0.8601515854500907,0.5277069301183269
61,0.2742413282394409,0.08098508598050103,,
62,0.270810067653656,0.06809044495457783,,
63,0.27543553709983826,0.07030132703948766,,
64,0.2723512649536133,0.07018376997439191,,
65,0.2730483114719391,0.07201904896646738,0.8603536863506627,0.5277144392739349
66,0.26958274841308594,0.07082598697161302,,
67,0.27270540595054626,0.06813448900356889,,
68,0.27058520913124084,0.06962418800685555,,
69,0.267750084400177,0.07008120801765472,,
70,0.26781103014945984,0.07102068699896336,0.8601781073648817,0.5269127581436909
