alpha,auc_roc,auc_pr,hits@10,mrr
0.0,0.7388224530490427,0.4222424805290763,0.7794117647058824,0.6374898168455377
0.05,0.8020238501739889,0.4610532774319595,0.7794117647058824,0.6295535292275264
0.1,0.8183171682154075,0.4785584746989199,0.7794117647058824,0.6272139070012568
0.15000000000000002,0.8281841285563477,0.49145592552651224,0.7794117647058824,0.6312544782011121
0.2,0.8349488198725383,0.5017964817553799,0.7794117647058824,0.6312579468799783
0.25,0.8400052652843123,0.5102813931120178,0.7794117647058824,0.6241579500706739
0.30000000000000004,0.8440183502978013,0.517677462598588,0.7794117647058824,0.6225370698345214
0.35000000000000003,0.8472702107417012,0.5239471666630704,0.7794117647058824,0.61936995487641
0.4,0.8499800857563634,0.5295462837292296,0.7794117647058824,0.6193541987507006
0.45,0.8522846642077962,0.5344763974343454,0.7867647058823529,0.6231839270289584
0.5,0.8543121896544983,0.5389593310351721,0.7867647058823529,0.6250854979221862
0.55,0.8560723324948846,0.5427834409159038,0.7794117647058824,0.6247647912035372
0.6000000000000001,0.8575768483884841,0.5458753433577518,0.7794117647058824,0.6202670374900329
0.65,0.8588801105188391,0.5480317055912018,0.7794117647058824,0.6239682652980081
0.7000000000000001,0.8599164592266288,0.5488068029194304,0.7867647058823529,0.6243685377507552
0.75,0.860705834821254,0.548443830678579,0.7867647058823529,0.6279472954779954
0.8,0.8612895776042956,0.5471981115087207,0.7941176470588235,0.6228548802410553
0.8500000000000001,0.8616357309491847,0.5447838737808447,0.7941176470588235,0.6232165514886663
0.9,0.8617013645427414,0.5414757934803492,0.7941176470588235,0.6223770078077335
0.9500000000000001,0.8614210272517563,0.5373913214549418,0.7794117647058824,0.6146008981041025
1.0,0.8606315734598391,0.5318969939570217,0.7794117647058824,0.6073794610831056
