epoch,train_loss,epoch_seconds,val_auc_roc,val_auc_pr
1,7.005478946174064,4.498973224021029,,
2,3.1323464352910113,4.305150267027784,,
3,1.9143160101844043,4.490616408002097,,
4,1.4049182665057298,4.221692633989733,,
5,1.208641478201238,4.205542819981929,0.6812007454808482,0.3514117473949008
6,1.1313081427318294,4.302564918005373,,
7,1.0966297388076782,4.32309829397127,,
8,1.0795821634734548,4.610363624000456,,
9,1.0694988907837286,4.278980005008634,,
10,1.0634942723483574,4.209679017018061,0.727317989286971,0.4142738603213238
11,1.0591825086896012,4.303627774992492,,
12,1.0565914831510403,4.507208930968773,,
13,1.0541165369312937,4.542455186950974,,
14,1.052860265824853,4.424554318014998,,
15,1.051196006740012,4.345380772021599,0.7435511475452568,0.4321574897278801
16,1.050551431935008,4.4226578809903,,
17,1.0495775211148146,4.429830409993883,,
18,1.0491419420009707,4.489743272017222,,
19,1.0482739675335768,4.400908185052685,,
20,1.0478762475455679,4.474044091999531,0.7448941599655932,0.4348284270054725
21,1.0478335226454385,4.6120294709689915,,
22,1.0474621944311189,4.433500047016423,,
23,1.04702041788799,4.322497989982367,,
24,1.0466971222947283,4.261290211987216,,
25,1.0466264747991794,4.178984683996532,0.745531220268738,0.4352377872113388
26,1.046767846840184,4.318166120967362,,
27,1.0463985626290484,4.51119056798052,,
28,1.0461287251332911,4.280196410021745,,
29,1.045596653368415,4.457804682024289,,
30,1.0461280389529903,4.304634818050545,0.7493955610004042,0.43779858210829087
31,1.0460755519750642,4.328102083003614,,
32,1.0460664077502926,4.3393527190200984,,
33,1.0453279062015255,4.4554757450241596,,
34,1.0459890132997094,4.152792449982371,,
35,1.0456604041704318,4.263909673027229,0.7477232858502001,0.43701123273530046
36,1.0452976255882076,4.236152507015504,,
37,1.0452107205623533,4.104304298001807,,
38,1.045222150116432,4.211392124008853,,
39,1.0452775533606367,4.493167203036137,,
40,1.0448741927379515,4.30477913696086,0.7527878898460817,0.4450662312276642
41,1.0449886089417992,4.125222164031584,,
42,1.0446543053882877,4.146314300014637,,
43,1.0446283148556221,4.218634782009758,,
44,1.0445434683706702,4.345638998958748,,
45,1.0443009981294957,4.650468853011262,0.7522574254844974,0.44347333037722253
46,1.0437044196012544,4.322894589975476,,
47,1.0431080823991357,4.211937628046144,,
48,1.043326322625323,4.411742074007634,,
49,1.0433641381380034,4.394178939983249,,
50,1.042939841747284,4.436776878021192,0.7625181482881309,0.45178571155078784
